tweet_id	publish_date	content	trump_mention
914342060437753857	10/1/2017 4:11	'@thehill Why won't she apologize to us for lying?'	F
917872218067161090	10/10/2017 21:59	"Hi @MichelleObama, remember when you said Weinstein is a ""wonderful human being, a good friend and just a powerhouse.""  Do you disavow? https://t.co/pxNaJhhhRc"	F
917873988952645632	10/10/2017 22:06	"Hi @MichelleObama, remember when you praised Harvey Weinstein as 'a wonderful human being, a good friend and a powerhouse.""  Do you disavow? https://t.co/sRc1TK78AW"	F
917876811954098176	10/10/2017 22:17	"Wow! Even CNN is slamming the Obamas for silence on Weinstein: ""Where is Michelle Obama? Where is President Obama?"" https://t.co/UxIhO8GDOJ"	F
918268125115834368	10/12/2017 0:12	Do you agree with the Boy Scouts for allowing girls to join?	F
918574971395477504	10/12/2017 20:31	"So wait, did the Russians also purchase Hillary Clinton? ""Pokemon Go to the polls""! https://t.co/2I1ayPLMBu"	F
918591624711692288	10/12/2017 21:38	Eminem is a Trump supporter?!  😮 https://t.co/JnCUJ7sqnU	T
918637394051715072	10/13/2017 0:39	Is this real? https://t.co/QUTSZc3quW	F
918976499360903168	10/13/2017 23:07	Dear CNN: When will you be interviewing one of the mayors in Puerto Rico's other 77 municipios? https://t.co/MKNFP3IHZe	F
918675136785641472	10/13/2017 3:09	Wait.. where were all these women when Bill Clinton raped Juanita Broderick? Oh yea they were making fun of her.  #WomenBoycottTwitter	F
914963981588209664	10/2/2017 21:23	"Here is video of woman approaching the man saying ""Hi Steve!"" Could this be Stephen Paddock? #LasVegasShooting https://t.co/NEAUohASF1"	F
914997139440373760	10/2/2017 23:34	Will players “take a knee” tonight to protest the lives saved by Las Vegas police officers? Will ESPN spit on first responders yet again?	F
915753349554823168	10/5/2017 1:39	50+ dead and 500+ injured in Las Vegas. Where's the Facebook photo filter to support victims of this tragedy?	F
916059844217573379	10/5/2017 21:57	"Ivana Trump: ""He still asks me for advice, he asks “Should I tweet? Should I not?” I say “I think you should tweet.” https://t.co/bmNSMb3ZA9"	T
